samples,times,losses,model
0,0,0.05950000137090683,MabRandomArm
100,1,0.10130000114440918,MabRandomArm
200,1,0.12020000070333481,MabRandomArm
300,2,0.1860000044107437,MabRandomArm
400,3,0.16169999539852142,MabRandomArm
500,3,0.11749999970197678,MabRandomArm
600,4,0.10509999841451645,MabRandomArm
700,4,0.10130000114440918,MabRandomArm
800,5,0.10010000318288803,MabRandomArm
900,5,0.10220000147819519,MabRandomArm
1000,6,0.11339999735355377,MabRandomArm
1100,7,0.14100000262260437,MabRandomArm
1200,7,0.17470000684261322,MabRandomArm
1300,8,0.2021999955177307,MabRandomArm
1400,8,0.21780000627040863,MabRandomArm
1500,9,0.2425999939441681,MabRandomArm
1600,10,0.2648000121116638,MabRandomArm
1700,10,0.2791000008583069,MabRandomArm
1800,11,0.2822999954223633,MabRandomArm
1900,11,0.27730000019073486,MabRandomArm
2000,12,0.26669999957084656,MabRandomArm
2100,12,0.2646999955177307,MabRandomArm
2200,13,0.2653000056743622,MabRandomArm
2300,14,0.2720000147819519,MabRandomArm
2400,14,0.2969000041484833,MabRandomArm
2500,15,0.32919999957084656,MabRandomArm
2600,15,0.35089999437332153,MabRandomArm
2700,16,0.3797000050544739,MabRandomArm
2800,16,0.41359999775886536,MabRandomArm
2900,17,0.4510999917984009,MabRandomArm
3000,18,0.47929999232292175,MabRandomArm
3100,18,0.5034999847412109,MabRandomArm
3200,19,0.5338000059127808,MabRandomArm
3300,19,0.5619999766349792,MabRandomArm
3400,20,0.5855000019073486,MabRandomArm
3500,21,0.6036999821662903,MabRandomArm
3600,21,0.6215999722480774,MabRandomArm
3700,22,0.6398000121116638,MabRandomArm
3800,22,0.6564000248908997,MabRandomArm
3900,23,0.6650000214576721,MabRandomArm
4000,24,0.6733999848365784,MabRandomArm
4100,24,0.6779999732971191,MabRandomArm
4200,25,0.6776000261306763,MabRandomArm
4300,25,0.6819999814033508,MabRandomArm
4400,26,0.6861000061035156,MabRandomArm
4500,26,0.7006999850273132,MabRandomArm
4600,27,0.7117999792098999,MabRandomArm
4700,28,0.7192000150680542,MabRandomArm
4800,28,0.7268999814987183,MabRandomArm
4900,29,0.7440000176429749,MabRandomArm
5000,29,0.7567999958992004,MabRandomArm
5100,30,0.765999972820282,MabRandomArm
5200,31,0.7641000151634216,MabRandomArm
5300,31,0.7608000040054321,MabRandomArm
5400,32,0.7638999819755554,MabRandomArm
5500,32,0.7554000020027161,MabRandomArm
5600,33,0.7408000230789185,MabRandomArm
5700,33,0.7329000234603882,MabRandomArm
5800,34,0.7337999939918518,MabRandomArm
5900,35,0.7358999848365784,MabRandomArm
6000,35,0.7425000071525574,MabRandomArm
6100,36,0.7490000128746033,MabRandomArm
6200,36,0.7689999938011169,MabRandomArm
6300,37,0.7936999797821045,MabRandomArm
6400,37,0.8127999901771545,MabRandomArm
6500,38,0.8312000036239624,MabRandomArm
6600,39,0.8356000185012817,MabRandomArm
6700,39,0.840399980545044,MabRandomArm
6800,40,0.8359000086784363,MabRandomArm
6900,40,0.8345000147819519,MabRandomArm
7000,41,0.8319000005722046,MabRandomArm
7100,42,0.83160001039505,MabRandomArm
7200,42,0.832099974155426,MabRandomArm
7300,43,0.8295999765396118,MabRandomArm
7400,43,0.8259999752044678,MabRandomArm
7500,44,0.8230999708175659,MabRandomArm
7600,45,0.8233000040054321,MabRandomArm
7700,45,0.8270999789237976,MabRandomArm
7800,46,0.8296999931335449,MabRandomArm
7900,46,0.8382999897003174,MabRandomArm
8000,47,0.847000002861023,MabRandomArm
8100,47,0.8540999889373779,MabRandomArm
8200,48,0.859499990940094,MabRandomArm
8300,49,0.862500011920929,MabRandomArm
8400,49,0.861299991607666,MabRandomArm
8500,50,0.862500011920929,MabRandomArm
8600,50,0.8640000224113464,MabRandomArm
8700,51,0.8654000163078308,MabRandomArm
8800,51,0.8657000064849854,MabRandomArm
8900,52,0.8669999837875366,MabRandomArm
9000,53,0.8675000071525574,MabRandomArm
9100,53,0.8683000206947327,MabRandomArm
9200,54,0.8680999875068665,MabRandomArm
9300,54,0.8665000200271606,MabRandomArm
9400,55,0.8644000291824341,MabRandomArm
9500,56,0.8651999831199646,MabRandomArm
9600,56,0.8634999990463257,MabRandomArm
9700,57,0.8652999997138977,MabRandomArm
9800,57,0.866100013256073,MabRandomArm
9900,58,0.8694000244140625,MabRandomArm
10000,59,0.8708000183105469,MabRandomArm
10100,59,0.8738999962806702,MabRandomArm
10200,60,0.8748000264167786,MabRandomArm
10300,60,0.8741000294685364,MabRandomArm
10400,61,0.8755999803543091,MabRandomArm
10500,61,0.8745999932289124,MabRandomArm
10600,62,0.8769999742507935,MabRandomArm
10700,63,0.8798999786376953,MabRandomArm
10800,63,0.8809999823570251,MabRandomArm
10900,64,0.8812000155448914,MabRandomArm
11000,64,0.8812999725341797,MabRandomArm
11100,65,0.8823000192642212,MabRandomArm
11200,66,0.8830999732017517,MabRandomArm
11300,66,0.8847000002861023,MabRandomArm
11400,67,0.8852999806404114,MabRandomArm
11500,67,0.8858000040054321,MabRandomArm
11600,68,0.8867999911308289,MabRandomArm
11700,69,0.8860999941825867,MabRandomArm
11800,69,0.8873000144958496,MabRandomArm
11900,70,0.8888999819755554,MabRandomArm
12000,70,0.8906999826431274,MabRandomArm
12100,71,0.891700029373169,MabRandomArm
12200,72,0.8925999999046326,MabRandomArm
12300,72,0.8937000036239624,MabRandomArm
12400,73,0.8930000066757202,MabRandomArm
12500,73,0.8914999961853027,MabRandomArm
12600,74,0.8898000121116638,MabRandomArm
12700,74,0.8907999992370605,MabRandomArm
12800,75,0.890500009059906,MabRandomArm
12900,76,0.8902000188827515,MabRandomArm
13000,76,0.8916000127792358,MabRandomArm
13100,77,0.8934999704360962,MabRandomArm
13200,77,0.8942999839782715,MabRandomArm
13300,78,0.8968999981880188,MabRandomArm
13400,79,0.8977000117301941,MabRandomArm
13500,79,0.8992000222206116,MabRandomArm
13600,80,0.9010000228881836,MabRandomArm
13700,80,0.9018999934196472,MabRandomArm
13800,81,0.9023000001907349,MabRandomArm
13900,81,0.9023000001907349,MabRandomArm
14000,82,0.9021999835968018,MabRandomArm
14100,83,0.9025999903678894,MabRandomArm
14200,83,0.9023000001907349,MabRandomArm
14300,84,0.9028000235557556,MabRandomArm
14400,84,0.9045000076293945,MabRandomArm
14500,85,0.9067000150680542,MabRandomArm
14600,85,0.9085000157356262,MabRandomArm
14700,86,0.909600019454956,MabRandomArm
14800,87,0.9110999703407288,MabRandomArm
14900,87,0.9104999899864197,MabRandomArm
15000,88,0.9103000164031982,MabRandomArm
15100,88,0.909600019454956,MabRandomArm
15200,89,0.90829998254776,MabRandomArm
15300,90,0.9090999960899353,MabRandomArm
15400,90,0.9097999930381775,MabRandomArm
15500,91,0.9125000238418579,MabRandomArm
15600,91,0.9139999747276306,MabRandomArm
15700,92,0.9126999974250793,MabRandomArm
15800,92,0.9125999808311462,MabRandomArm
15900,93,0.9121999740600586,MabRandomArm
16000,94,0.9138000011444092,MabRandomArm
16100,94,0.9125999808311462,MabRandomArm
16200,95,0.9132000207901001,MabRandomArm
16300,95,0.9139999747276306,MabRandomArm
16400,96,0.9146999716758728,MabRandomArm
16500,97,0.9147999882698059,MabRandomArm
16600,97,0.9153000116348267,MabRandomArm
16700,98,0.9154999852180481,MabRandomArm
16800,98,0.9162999987602234,MabRandomArm
16900,99,0.9175999760627747,MabRandomArm
17000,100,0.9175000190734863,MabRandomArm
17100,100,0.917900025844574,MabRandomArm
17200,101,0.9161999821662903,MabRandomArm
17300,101,0.9158999919891357,MabRandomArm
17400,102,0.9154999852180481,MabRandomArm
17500,102,0.9144999980926514,MabRandomArm
17600,103,0.9139000177383423,MabRandomArm
17700,104,0.9146000146865845,MabRandomArm
17800,104,0.9147999882698059,MabRandomArm
17900,105,0.9150999784469604,MabRandomArm
18000,105,0.9174000024795532,MabRandomArm
18100,106,0.9187999963760376,MabRandomArm
18200,107,0.9193999767303467,MabRandomArm
18300,107,0.9192000031471252,MabRandomArm
18400,108,0.9186000227928162,MabRandomArm
18500,108,0.9192000031471252,MabRandomArm
18600,109,0.9190000295639038,MabRandomArm
18700,110,0.9190000295639038,MabRandomArm
18800,110,0.9196000099182129,MabRandomArm
18900,111,0.920799970626831,MabRandomArm
19000,111,0.9211999773979187,MabRandomArm
19100,112,0.9212999939918518,MabRandomArm
19200,112,0.9212999939918518,MabRandomArm
19300,113,0.9211000204086304,MabRandomArm
19400,114,0.9196000099182129,MabRandomArm
19500,114,0.9179999828338623,MabRandomArm
19600,115,0.9174000024795532,MabRandomArm
19700,115,0.9171000123023987,MabRandomArm
19800,116,0.9153000116348267,MabRandomArm
19900,117,0.9133999943733215,MabRandomArm
20000,117,0.9121000170707703,MabRandomArm
20100,118,0.9117000102996826,MabRandomArm
20200,118,0.913100004196167,MabRandomArm
20300,119,0.9153000116348267,MabRandomArm
20400,120,0.9203000068664551,MabRandomArm
20500,120,0.921500027179718,MabRandomArm
20600,121,0.9187999963760376,MabRandomArm
20700,121,0.9147999882698059,MabRandomArm
20800,122,0.9078999757766724,MabRandomArm
20900,123,0.9023000001907349,MabRandomArm
21000,123,0.8970000147819519,MabRandomArm
21100,124,0.8986999988555908,MabRandomArm
21200,124,0.9014000296592712,MabRandomArm
21300,125,0.9047999978065491,MabRandomArm
21400,125,0.9057000279426575,MabRandomArm
21500,126,0.9120000004768372,MabRandomArm
21600,127,0.916700005531311,MabRandomArm
21700,127,0.9204000234603882,MabRandomArm
21800,128,0.9218000173568726,MabRandomArm
21900,128,0.9210000038146973,MabRandomArm
22000,129,0.9193999767303467,MabRandomArm
22100,130,0.9197999835014343,MabRandomArm
22200,130,0.9178000092506409,MabRandomArm
22300,131,0.9150000214576721,MabRandomArm
22400,131,0.9150999784469604,MabRandomArm
22500,132,0.9162999987602234,MabRandomArm
