samples,times,losses,model
13900,81,0.9135000109672546,MabExp3Ix
14000,82,0.9138000011444092,MabExp3Ix
14100,82,0.9136999845504761,MabExp3Ix
14200,83,0.9132999777793884,MabExp3Ix
14300,83,0.9114000201225281,MabExp3Ix
14400,84,0.9121000170707703,MabExp3Ix
14500,85,0.9136000275611877,MabExp3Ix
14600,85,0.9146000146865845,MabExp3Ix
14700,86,0.9146999716758728,MabExp3Ix
14800,86,0.9158999919891357,MabExp3Ix
14900,87,0.9164999723434448,MabExp3Ix
15000,87,0.9165999889373779,MabExp3Ix
15100,88,0.914900004863739,MabExp3Ix
15200,89,0.9151999950408936,MabExp3Ix
15300,89,0.914900004863739,MabExp3Ix
15400,90,0.9146000146865845,MabExp3Ix
15500,90,0.9132999777793884,MabExp3Ix
15600,91,0.9133999943733215,MabExp3Ix
15700,91,0.9142000079154968,MabExp3Ix
15800,92,0.9146000146865845,MabExp3Ix
15900,93,0.9146000146865845,MabExp3Ix
16000,93,0.9144999980926514,MabExp3Ix
16100,94,0.9150999784469604,MabExp3Ix
16200,94,0.9154000282287598,MabExp3Ix
16300,95,0.9161999821662903,MabExp3Ix
16400,96,0.9172999858856201,MabExp3Ix
16500,96,0.9179999828338623,MabExp3Ix
16600,97,0.9190000295639038,MabExp3Ix
16700,97,0.91839998960495,MabExp3Ix
16800,98,0.9182999730110168,MabExp3Ix
16900,98,0.9174000024795532,MabExp3Ix
17000,99,0.916100025177002,MabExp3Ix
17100,100,0.9172000288963318,MabExp3Ix
17200,100,0.9161999821662903,MabExp3Ix
17300,101,0.9164000153541565,MabExp3Ix
17400,101,0.917900025844574,MabExp3Ix
17500,102,0.919700026512146,MabExp3Ix
17600,102,0.9189000129699707,MabExp3Ix
17700,103,0.919700026512146,MabExp3Ix
17800,104,0.9194999933242798,MabExp3Ix
17900,104,0.9200999736785889,MabExp3Ix
18000,105,0.9222000241279602,MabExp3Ix
18100,105,0.9236000180244446,MabExp3Ix
18200,106,0.9253000020980835,MabExp3Ix
18300,107,0.9247000217437744,MabExp3Ix
18400,107,0.9248999953269958,MabExp3Ix
18500,108,0.9243000149726868,MabExp3Ix
18600,108,0.9230999946594238,MabExp3Ix
18700,109,0.9217000007629395,MabExp3Ix
18800,110,0.921500027179718,MabExp3Ix
18900,110,0.9225999712944031,MabExp3Ix
19000,111,0.92330002784729,MabExp3Ix
19100,111,0.9222000241279602,MabExp3Ix
19200,112,0.920799970626831,MabExp3Ix
19300,112,0.9211999773979187,MabExp3Ix
19400,113,0.921999990940094,MabExp3Ix
19500,114,0.923799991607666,MabExp3Ix
19600,114,0.9244999885559082,MabExp3Ix
19700,115,0.9247000217437744,MabExp3Ix
19800,115,0.9246000051498413,MabExp3Ix
19900,116,0.9251999855041504,MabExp3Ix
